40000 -5.10758	7.23102
60000 -5.97061	4.83723
80000 -5.36227	4.38149
100000 -5.16953	3.6791
120000 -4.78627	3.56386
140000 -5.56308	3.10544
160000 -5.8493	2.9857
180000 -5.78082	2.75017
200000 -5.65651	2.81767
220000 -5.74455	2.90432
240000 -5.82821	2.71619
260000 -5.65632	2.66225
280000 -5.44654	2.70306
300000 -5.35614	2.71674
320000 -5.63686	2.76563
340000 -6.08422	2.61064
360000 -6.2937	2.22325
380000 -6.57737	1.87487
400000 -6.72315	1.7468
420000 -6.94337	1.80372
440000 -7.18871	1.8421
460000 -7.24056	1.94903
480000 -7.33735	2.04828
500000 -7.2585	1.94215
520000 -7.25697	1.70269
540000 -7.21797	1.59831
560000 -7.30476	1.2176
580000 -7.32457	1.00046
600000 -7.24375	0.954751
620000 -7.24563	0.915583
640000 -7.19584	0.892988
660000 -7.09182	0.911489
680000 -7.10928	0.966911
700000 -7.09735	1.0157
720000 -7.03937	1.02768
740000 -7.00983	1.00478
760000 -7.07109	0.997342
780000 -7.10792	0.99404
800000 -7.11198	0.961589
820000 -7.16859	0.876858
840000 -7.13231	0.804582
860000 -7.09357	0.755691
880000 -7.02728	0.742885
900000 -6.98188	0.726609
920000 -6.94615	0.688934
940000 -6.90397	0.646183
960000 -6.85729	0.648761
980000 -6.84663	0.659186
1000000 -6.86528	0.639205
